URL,案件名,単価,契約形態,最寄り駅,業界/職種・ポジション,職務内容,求めるスキル,扱う技術,精算,現場の環境,おすすめポイント,担当者コメント
https://freelance.levtech.jp/project/detail/44979/,New 【PHP】Webマーケティング支援ツール開発の求人・案件,"〜700,000円",業務委託（フリーランス）,代官山（東京都）,プログラマー(PG),"
職務内容
PHPを用いてWebサービスの開発や運用を行っていただきます。
※担当範囲は、ご経験および進捗状況により変動いたします。
","
求めるスキル

・Webサービスの開発実務経験3年以上
・PHPを用いた開発経験

【歓迎スキル】
・Ruby、Goなどオープン系言語を用いた開発経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中
長期プロジェクト
新規立ち上げ

","スタートアップ企業にて自社サービスの開発案件になります。

意見やアイディアを十分に反映させることができる風通しの良い環境です。
新しい技術やサービスに日頃から関心を持ち、
成果やプロダクトをアウトプットしていきたい方にオススメの案件です。"
https://freelance.levtech.jp/project/detail/45060/,New 【PM】ヘルスケア業界向け運用アレンジメントの求人・案件,"〜950,000円",業務委託（フリーランス）,東京（東京都）,プロジェクトマネージャー(PM),"
職務内容
・PMをご担当いただきます。
・クライアント団体が下部組織に提供する定期的な調査に必要な
　ツール発送から回収までの運用全般のアレンジメントプロジェクトです｡
・下記を行っていただきます。
-プロジェクトメンバー5名程度のマネジメント
-調査業務の運用推進
-クライアント団体事務局とその全国下部組織(約50)の窓口対応 等
","
求めるスキル

・ヘルスケア業界の知見
・マネジメント経験 5名以上

【歓迎スキル】
・kintoneの知見

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"レバテック実績ありの企業でございます｡

ヘルスケア業界の知見がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44817/,New 【PM/PMO】医薬品会社向け業務支援システムリニューアルの求人・案件,"〜750,000円",業務委託（フリーランス）,御茶ノ水（東京都）,インフラエンジニア・プロジェクトマネージャー(PM)・プロジェクトリーダー(PL)・PMO,"
職務内容
・医薬品会社向けの業務支援システムをリニューアルしていただきます｡
・主にPMとして参画いただきます。
","
求めるスキル

・数億規模の開発経験
・基幹システムの開発プロジェクト管理経験
・PMBOKなどのプロジェクトマネジメント全般に対する体系的な知見
・PowerPointを用いたドキュメンテーション作成経験

【歓迎スキル】
・PMPの資格を保有していること

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


150時間　～　200時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"レバテック実績のある企業です。

PM経験､開発経験が豊富な方にマッチいたします｡"
https://freelance.levtech.jp/project/detail/45061/,New 【PMO】損保向けシステムテストの求人・案件,"〜700,000円",業務委託（フリーランス）,東新宿（東京都）,PMO,"
職務内容
・テスト工程におけるPMOをご担当いただきます。
","
求めるスキル

・PMO経験
・下記いずれかの経験
-Webアプリケーションの業務開発
-Webアプリケーション開発案件のPM/PMO

【歓迎スキル】
・保険業務の知見

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","ネット損保のマイカー割プロジェクトに携わっていただきます。

PMO経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44839/,New 【Linux】認証システムインフラ構築の求人・案件,"〜550,000円",業務委託（フリーランス）,京王多摩センター（東京都）,インフラエンジニア・サーバーエンジニア,"
職務内容
・認証システムを乗せる基盤部分(OS/標準ミドルウェア)の
　設計導入を行う案件をご担当いただきます。
・下記を行っていただきます。
-OS、RHEL8.1とRHEL7.7との差分を調査し設計/構築
-ミドルウェア(JP1v12)の導入方法検討/設計/構築
・Microsoft Azure上にVMとして構築いただく想定となります｡
","
求めるスキル

・サーバ設計/構築経験(RHEL7以上)

【歓迎スキル】
・Microsoft Azureの利用経験(種別不問)

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Linux



その他ツール

Microsoft Azure
,  JP1



",精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"レバテック実績あり企業の案件です。

RHEL7以上のサーバ設計/構築経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44918/,New 【C++】アプリケーショングラフィックス開発の求人・案件,"〜3,500円",派遣,大崎（東京都）,ソーシャルゲーム・コンシューマーゲーム・プロジェクトマネージャー(PM)・プログラマー(PG),"
職務内容
・クライアントアプリケーションのグラフィックスプログラミングに携わっていただきます。
・主な業務は下記の通りです。
　-グラフィックシステムに関する設計、開発
　-シェーダー作成
・担当範囲はスキルや経験およびプロジェクトの進捗状況により変動いたします。
","
求めるスキル

・C++を使用した商用の3Dゲーム(家庭用、PC、アーケード)のプログラム開発経験
・HLSLを利用した商用の3Dゲーム(家庭用、PC、アーケード)のプログラム開発経験

【歓迎スキル】
・3Dアクションゲームの開発経験
・C#によるプログラム開発経験
・STL、Boostの使用経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

C++
C#



",精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

ゲーム好き歓迎
長期プロジェクト

","日本だけでなく世界的にも有名な、
TVCMでもお馴染みのゲームを多数リリースしている
設立50年以上の歴史のある企業です。

家庭用ゲーム・PCオンラインゲームの開発・販売・運営を行っています。
本格的なRPGからアクション、リズムゲームなど、
他ジャンルのゲーム制作をされています。
ゲームに対するノウハウも多く、成長できる環境です。 

ゲーム業界で実績を積みたい方、
有名タイトルの制作をされたい方、
飛躍的なスキルアップをされたい方にお勧めです。"
https://freelance.levtech.jp/project/detail/45012/,New 【Go/Python/AWS】大手Webメディア/SREの求人・案件,"〜850,000円",業務委託（フリーランス）,築地市場（東京都）,放送・出版・音楽・芸能・アプリケーションエンジニア,"
職務内容
・大手新聞社のデジタルメディアサイトでSREに携わっていただきます。
・デジタル化を強力にドライブしていくため、
　現状の課題点を把握、KPIを見ながら継続的に改善していただきます。
・高速で心地よいユーザー体験と開発者体験を実現するため、
　施策の提案や実装を担当いただきます。
※担当範囲は、スキルや経験および進捗状況により変動いたします。
","
求めるスキル

・Goの実務経験
・API開発の実務経験
・設計の実務経験
・MongoDBもしくはAWS DocumentDBの実務経験
・マイクロサービスアーキテクチャの知識もしくは適用の経験
【下記から1点必須】
・障害テストやテストコードの実務経験
・Gitを用いたスクラム開発の実務経験
・AWSの実務経験
・ECS-Fargateの実務経験
・IaCの実務経験
・CI/CD環境構築の実務経験
・テックリードの実務経験
・レビュールールやガイドライン策定の実務経験

【歓迎スキル】
・TerraformやAWS SAM等の実務経験
・Pythonの実務経験
・EKSやGKEなどでのKubernetes実務経験
・開発チームのマネージメント実務経験
・スクラムマスターの実務経験
・パフォーマンスを考慮した設計や実装およびチューニングの実務経験
・メディア開発の実務経験
・AWS構築の実務経験
・フルスタックの実務経験
・OOPの実務経験
・SREの実務経験
・アーキテクトや技術選定の実務経験
・OSSなどへのコントリビュートやオーナーシップの経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","大手新聞社内に常駐して、デジタルメディアの開発をお任せいたします。
現状レガシーな開発環境のため、課題を把握し、モダンな環境へと改善するための提案/実装をしていただきます。
長期的に裁量をもって、課題解決のための開発をしていきたい方におすすめの案件です。"
https://freelance.levtech.jp/project/detail/44948/,New 【PHP】パッケージシステム開発の求人・案件,"〜650,000円",業務委託（フリーランス）,神田（東京都）,SE (システムエンジニア)・プログラマー(PG),"
職務内容
・独自開発のパッケージシステムをクライアントのニーズにマッチした形に
　改修及び新規開発していただきます。
・使用しているフレームワークは独自のフレームワークです。
","
求めるスキル

・PHPを用いた開発実務経験2年以上
・LAMP環境での開発実務経験
・JavaScriptを用いた開発経験

【歓迎スキル】
・サーバの設計、構築及び運用経験
・クラウドの知見
・顧客折衝経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

JavaScript
PHP



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　160時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

20代活躍中
30代活躍中

","2009年の設立から一貫して、検定試験システムの運営をサポートする
システムを独自で開発している企業でございます。

コミュニケーションを取りながら開発を進めていきたい方にマッチする案件です。"
https://freelance.levtech.jp/project/detail/44893/,New 【Linux/AWS】ECプラットフォーム運用/改善の求人・案件,"〜650,000円",業務委託（フリーランス）,秋葉原（東京都）,インフラエンジニア・サーバーエンジニア・SE (システムエンジニア),"
職務内容
・下記を行っていただきます。
- AWS上で動作するWebアプリケーションの運用全般
- 手順書に基づいた環境構築
- AWS Management Console/CLI スクリプトを用いた各種オペレーション
- DataDog /Cloud Watch Logsを用いた監視/調査
","
求めるスキル

・Linux上で動作するWebアプリケーションの継続的な運用業務の実務経験
・ AWSのマネージドサービスについての知見/経験
・ EC2/ECS/RDS経験/知見
・ CLIによるコマンドベースのオペレーション経験
・シェルスクリプトの一般的な読み書きができること

【歓迎スキル】
・Javaによるアプリケーションの運用経験
・JVMの知見/経験
・Terraform/CloudFormationなどによる自動化の経験
・運用プロセスを改善する業務経験
・ Python/Goなどによるプログラミングの経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Python
Go言語



OS

Linux



その他ツール

AWS



",精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"最先端のマーケティング、それを支えるアーキテクチャなど、
新しい知見や技術に触れることができる現場でございます。

Linux/AWSの運用経験や知見がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44858/,New 【Python】顔認証アプリ開発の求人・案件,"〜800,000円",業務委託（フリーランス）,赤坂（東京都）,放送・出版・音楽・芸能・ビッグデータ・SE (システムエンジニア)・プログラマー(PG),"
職務内容
・Rasberry Pi での顔認識、身体検出、人物照合機能の実装を
　ご担当いただきます。
・各要素技術は OpenVino の活用を想定しています。
","
求めるスキル

・画像処理分野の経験
・Pythonを用いた開発経験
・Git の使用経験

【歓迎スキル】
・顔認識、身体検出、姿勢推定などの画像処理アルゴリズムに
　ついての知見
・OpenCV、OpenVino などの利用経験
・確率についての知識
・研究開発分野での従事または開発支援の経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

C++
Java
C言語
Python



OS

Android
Linux



その他ツール

AWS



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

取引実績あり
新技術に積極的

","テレビ視聴データを強みに、テレビ番組や企業CMの
様々な分析サービスを提供している、
広告マーケティング業界で注目されている企業での案件でございます。"
https://freelance.levtech.jp/project/detail/45026/,New 【ヘルプデスク】サポートシステム管理の求人・案件,"〜450,000円",業務委託（フリーランス）,渋谷（東京都）,業界/職種は取得できませんでした,"
職務内容
・サポートシステム管理部門でのヘルプデスクをご担当いただきます。
・下記を行っていただきます。
-PCセットアップと運用管理
-携帯電話及びスマホのセットアップと運用管理
-ユーザーサポート業務(一部管轄全体サポート含む)
","
求めるスキル

・システムのヘルプデスク経験 3年以上

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業でございます｡

ヘルプデスク経験が3年以上ある方にマッチします。"
https://freelance.levtech.jp/project/detail/45027/,New 【Mac/Linux】情報システム管理の求人・案件,"〜500,000円",業務委託（フリーランス）,渋谷（東京都）,インフラエンジニア,"
職務内容
・macOS/OS Xのシステム管理をご担当いただきます。
・大規模ストレージやネットワーク系でのサポート作業もございます。
","
求めるスキル

・macOSの知見、かつ、下記いずれかの経験
-システム管理者
-何かしらのOSのシステム管理者(Linux/Windows 等)

【歓迎スキル】
・iOSおよびAndroidの知見/管理経験
・LinuxまたはFreeBSDまたはWindowsのシステム管理者経験
・ネットワーク管理者経験
・ACMT/ACiT資格を保有していること
・LPIC1～3/MCSA/MCSE/CCNA/CCNP/応用情報技術者

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Android
Windows
Linux
iOS
FreeBSD



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業でございます｡

macOSの知見がある方にマッチします。"
https://freelance.levtech.jp/project/detail/45029/,New 【Windows】サーバ管理の求人・案件,"〜450,000円",業務委託（フリーランス）,渋谷（東京都）,インフラエンジニア,"
職務内容
・サーバ全般に携わっていただきます｡
・ストレージ、WindowsServer関連が多めで
　その他、ネットワーク系でのサポート業務もございます。
　(Windows/Linux/大容量のストレージ/仮想サーバー 等)
","
求めるスキル

・WindowsServerの経験/知見
・システム管理者経験

【歓迎スキル】
・MCSE 等資格を保有していること

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


OS

Windows
Linux
Windows Server



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

無



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","レバテック実績有りの企業でございます｡

WindowsServerの知見があり、システム管理者経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44941/,New 【Azure】投資ファンド企業向けシステム移管/体制構築の求人・案件,"〜600,000円",業務委託（フリーランス）,有楽町（東京都）,インフラエンジニア,"
職務内容
・SalesforceからAzureへの移管をご担当いただきます。
・Azureへの移管と、それに伴うAzureの保守体制構築を行っていただきます。
","
求めるスキル

・オンプレからAzureもしくはSalesforceからAzureの移管経験
・システム開発経験

【歓迎スキル】
・Salesforce関連システムの開発、カスタマイズ経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


その他ツール

Microsoft Azure



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"レバテック実績ありの企業です。

Azureの経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/45058/,New 【PM/PMO】製薬企業向けデジタルサービス化の求人・案件,"〜750,000円",業務委託（フリーランス）,溜池山王（東京都）,データベースエンジニア・プロジェクトマネージャー(PM)・PMO,"
職務内容
・利用者向けのデジタル化サービスの支援をご担当いただきます。
・下記を行っていただきます。
-導入管理
-効果分析
-提案支援
","
求めるスキル

・分析業務の設計実行経験
・製薬企業プロジェクトでのPM/PMO経験

【歓迎スキル】
・ファーム案件での稼働経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,精算・お支払いは取得できませんでした,"
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


",おすすめポイントは取得できませんでした,"レバテック実績ありの企業でございます｡

分析業務の設計実行経験がある方にマッチします。"
https://freelance.levtech.jp/project/detail/44890/,New 【PM】ペット保険会社向けシステム効率化の求人・案件,"〜700,000円",業務委託（フリーランス）,東新宿（東京都）,SE (システムエンジニア)・プロジェクトマネージャー(PM),"
職務内容
・PMをご担当いただきます。
","
求めるスキル

・PM経験 8年以上
・システム開発経験もしくは開発案件のPM経験
・保険業務の知見

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

",この会社が扱う技術は取得できませんでした,"
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

","ネット保険会社(ペット保険)向けに
ペーパーレス/業務効率化プロジェクトに携わっていただきます。

保険業務の知見があり、PM経験が8年以上の方にマッチします。"
https://freelance.levtech.jp/project/detail/44878/,New 【Python】データ分析系の求人・案件,"〜1,100,000円",業務委託（フリーランス）,西新宿（東京都）,ビッグデータ・プロジェクトマネージャー(PM),"
職務内容
・データ分析を行っていただきます。
・顧客折衝とメンバーの進捗管理を行っていただきます。
","
求めるスキル

・3~5名程度の人数のPL及びPMの経験者
・クライアントとの顧客折衝の経験がある方
・データ分析、自然言語処理などに理解が深い方
・Pythonの開発経験5年程度

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Python



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

長期プロジェクト

",Pythonの開発経験とプロジェク管理経験が活かせる現場です。
https://freelance.levtech.jp/project/detail/45041/,New 【Ruby】不動産系メディア開発の求人・案件,"〜950,000円",業務委託（フリーランス）,六本木一丁目（東京都）,サーバーエンジニア・SE (システムエンジニア),"
職務内容
・Ruby on Railsを用いて不動産一括査定メディアの実装をご担当いただきます。
・ご経験やスキルによりインフラ及びフロントエンド等の実装もご対応いただきます。
・プロダクトの状況次第で、他ブロジェクトの開発もご担当いただく場合もございます。
","
求めるスキル

・エンジニアとしての実務経験3年以上 
・プロダクトマネージャー、デザイナー、コーダー等の職種を横断したチームでの開発経験
・コードレビューやテストコードの実装など品質を考慮した開発経験
・GitHubを用いた開発経験

【歓迎スキル】
・AWSを用いたインフラの構築、運用経験
・Dockerを用いたWebサービス運用経験
・Javaを用いた開発経験
・技術選定や開発フローの改善などテックリードの経験
・アジャイル開発の経験
・OSSの開発経験

※上記に似た経験やスキルをお持ちであれば申し込み可能なケースもございます！まずはお気軽にご相談ください！
自分のスキルで参画できるか相談してみる

","
この会社が扱う技術


言語

Ruby



DB

MySQL
Redis



その他ツール

AWS
,  Git
,  GitHub
,  re:dash



","
精算・お支払い


精算条件

標準となる稼働時間が定められている場合、その契約上、稼働時間が上限値を超過したり、反対に下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されることになります。ここではこのような精算のある契約を「有」、精算のない契約については「無」と表記しています。

有



精算基準時間

標準となる稼働時間の上限値・下限値です。業務委託案件の契約上、稼働時間が上限値を超過したり、下限値を下回った場合には実際の作業時間に基づき標準となる委託料から増額または減額されます。


140時間　～　180時間



支払いサイト

報酬お支払いまでの期間です。基本、月末締め翌月15日払いの15日サイトをとっています。※業務委託契約のみに適用※参画する現場により変動する場合があります。


15日


","
現場の環境


詳しくはカウンセラーにお聞きください
※一部の案件に限ります


","
おすすめポイント

ベンチャー企業

","レバテック実績ありの企業でございます。

Webマーケティング事業を軸に、
様々な新規事業を立ち上げを行っているベンチャー企業でございます。

2015年度に入り開発体制を刷新し、
GolangやRuby on Rails、AWS等の新技術の積極導入や技術顧問の登用など、
よりエンジニアにとって働きやすい環境作りに積極的な社風となっております。

各事業と密接に関わりながら開発を進めていくため、
自分が関わるサービスを既存メンバーと一緒に成長させていきたいという、
サービス志向性の高い方にマッチしております。"
